,09179,04339,14119,19081,16149,11511,11401
09179,0,19,17,14,16,11,9
04339,15,0,14,19,21,14,16
14119,14,15,0,9,7,13,13
19081,19,20,22,0,8,14,8
16149,15,18,19,11,0,12,6
11511,15,18,12,5,9,0,10
11401,15,12,14,5,13,6,0
